Status,Nome da obra no Brasil,Série,Lançamento brasileiro,Título original,Lançamento original,Desenvolvimento,Publicação,Lançamento em revista/jornal,Archive ID,Preservador,Link para gameplay,Screenshots,Descrição do jogo,YouTube ID,Filename base
OK,Pense Brincando Coleção 3,PC @ Home,1996,Thinkin' Things Collection 3,1995,Edmark,PC @ Home,,pensebrincando-3,,,"https://vinizinho.net/projects/cd-archive/figures/scans/scan59.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan21.png",,nan,nan
PERDIDO,Casa de Matemática de Millie,PC @ Home,1997,Millie's Math House,1992,Edmark,PC @ Home,,,,,"https://vinizinho.net/projects/cd-archive/figures/scans/scan59.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan94.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan170.png",,nan,nan
OK,Casa de Ciência do Sammy,PC @ Home,1996,Sammy's Science House,1994,Edmark,PC @ Home,,casa-ciencia-sammy,,,"https://vinizinho.net/projects/cd-archive/figures/scans/scan59.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan94.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan170.png",,nan,nan
OK,Casa do Tempo e da Geografia da Trudy,PC @ Home,1996,Trudy's Time and Place House,1995,Edmark,PC @ Home,,casa-geografia-trudy,,,https://vinizinho.net/projects/cd-archive/figures/screenshots/edmark.png,,nan,nan
PERDIDO,Casa de Estórias do Stanley,PC @ Home,1997,Stanley's Sticker Stories,1996,Edmark,PC @ Home,,,,,https://vinizinho.net/projects/cd-archive/figures/screenshots/edmark.png,,nan,nan
OK,Mundo da Matemática: Parque dos Números,PC @ Home,1996,Mighty Math Carnival Countdown ,1996,Edmark,PC @ Home,,mundo-da-matematica_parque-dos-numeros,toddynho,,https://vinizinho.net/projects/cd-archive/figures/scans/scan171.png,,nan,nan
PERDIDO,Mundo da Matemática: Heróis dos Números,PC @ Home,1996,Mighty Math Number Heroes,1997,Edmark,PC @ Home,,,,,"https://vinizinho.net/projects/cd-archive/figures/scans/scan59.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan171.png",,nan,nan
PERDIDO,Matemática Fantástica,PC @ Home,1996,Marvel Comics Amazing Math ,1996,Brighter Child Interactive,PC @ Home,,,,,"https://vinizinho.net/projects/cd-archive/figures/scans/scan59.png,https://vinizinho.net/projects/cd-archive/figures/scans/scan171.png",,nan,nan
PERDIDO,Jogos Estratégicos do Mundo,PC @ Home,1996,,,,PC @ Home,,,,,https://vinizinho.net/projects/cd-archive/figures/scans/scan171.png,,nan,nan
PERDIDO,Oficina do Livro,PC @ Home,1996,,,,PC @ Home,,,,,https://vinizinho.net/projects/cd-archive/figures/scans/scan59.png,,nan,nan
